"Obec, mesto, mestská časť",latitude,longitude
Abrahám,48.2,17.71667
Adidovce,48.93707,21.91625
Abrahámovce,49.1357,20.43352
Ábelová,48.33249,19.66708
Alekšince,48.36641,17.9479
Andovce,47.98333,18.16667
Abranovce,48.93176,21.34528
Abovce,48.38284,20.0224
Ardovo,48.66008,20.53758
Arnutovce,48.94464,20.56154
Abrahámovce,49.29175,21.27271
Ardanovce,48.56362,18.16712
Andrejová,49.29175,21.27271
Adamovské Kochanovce,48.89452,18.04436
Abramová,48.86226,18.86048
Babie,48.88836,21.68479
Babiná,48.57442,19.15324
Babindol,48.28918,18.23808
Babinec,48.38284,20.0224
Babín,49.4079,19.48032
Bacúch,48.80431,19.63631
Bacúrov,48.57442,19.15324
Bačka,48.62858,21.71954
Bačkov,48.62858,21.71954
Bačkovík,48.66667,21.33333
Badín,48.66375,19.12319
Baďan,48.44858,18.91003
Bajany,48.75434,21.9195
Bajč,47.76667,18.13333
Bajerov,48.95345,21.11529
Bajerovce,49.10308,21.0988
Bajka,48.21563,18.60705
Bajtava,47.98333,18.16667
Baka,47.99268,17.61211
Baláže,48.81399,19.19569
Baldovce,49.02173,20.59212
Balog nad Ipľom,48.21058,19.35043
Baloň,47.99268,17.61211
Banka,48.59479,17.82591
Banská Belá,48.44858,18.91003
Banská Bystrica,48.73946,19.15349
Banská Štiavnica,48.44858,18.91003
Banské,48.88836,21.68479
Banský Studenec,48.44858,18.91003
Baňa,49.20211,21.65216
Bara,48.62858,21.71954
Barca,48.38284,20.0224
Bardejov,49.29175,21.27271
Bardoňovo,47.98333,18.16667
Bartošova Lehôtka,48.59184,18.84958
Bartošovce,49.29175,21.27271
Baška,48.66667,21.33333
Baškovce,48.93707,21.91625
Baškovce,48.74455,22.18136
Bašovce,48.59479,17.82591
Batizovce,49.07611,20.18497
Báb,48.30995,17.86665
Báč,47.99268,17.61211
Bádice,48.39904,18.12554
Báhoň,48.28986,17.26664
Bánov,47.98333,18.16667
Bánovce nad Bebravou,48.83333,18.25
Bánovce nad Ondavou,48.75434,21.9195
Bátka,48.38284,20.0224
Bátorová,48.21058,19.35043
Bátorove Kosihy,47.76667,18.13333
Bátovce,48.21563,18.60705
Beckov,48.75466,17.83506
Beharovce,49.02173,20.59212
Becherov,49.29175,21.27271
Belá,47.98333,18.16667
Belá,49.23374,18.94576
Belá-Dulice,49.06651,18.92399
Belá nad Cirochou,48.98857,22.15099
Beladice,48.38553,18.40063
Belejovce,49.30819,21.5703
Belín,48.38284,20.0224
Belina,48.33249,19.66708
Belince,48.56362,18.16712
Bellova Ves,47.99268,17.61211
Beloveža,49.29175,21.27271
Beluj,48.44858,18.91003
Beluša,48.83333,18.25
Belža,48.66667,21.33333
Beniakovce,48.66667,21.33333
Benice,49.06651,18.92399
Benkovce,48.88836,21.68479
Beňadiková,49.08061,19.62218
Beňadikovce,49.30819,21.5703
Beňadovo,49.4079,19.48032
Beňatina,48.74455,22.18136
Beňuš,48.80431,19.63631
Bernolákovo,48.21951,17.40043
Bertotovce,49.02158,21.02423
Beša,48.21563,18.60705
Beša,48.75434,21.9195
Bešeňov,47.98333,18.16667
Bešeňová,49.0748,19.30751
Betlanovce,48.94464,20.56154
Betliar,48.66008,20.53758
Bežovce,48.74455,22.18136
Bidovce,48.66667,21.33333
Biel,48.62858,21.71954
Bielovce,48.21563,18.60705
Biely Kostol,48.36755,17.53036
Bijacovce,49.02173,20.59212
Biskupice,48.33249,19.66708
Biskupová,48.56362,18.16712
Bitarová,49.20844,18.67181
Bílkove Humence,48.67922,17.36697
Bíňa,47.98333,18.16667
Bíňovce,48.5042,17.48069
Blahová,47.99268,17.61211
Blatná na Ostrove,47.99268,17.61211
Blatná Polianka,48.74455,22.18136
Blatné,48.21951,17.40043
Blatné Remety,48.74455,22.18136
Blatné Revištia,48.74455,22.18136
Blatnica,49.06651,18.92399
Blažice,48.66667,21.33333
Blažovce,48.86226,18.86048
Blesovce,48.56362,18.16712
Blhovce,48.38284,20.0224
Bobot,48.89452,18.04436
Bobrov,49.4079,19.48032
Bobrovček,49.08061,19.62218
Bobrovec,49.08061,19.62218
Bobrovník,49.08061,19.62218
Bočiar,48.66667,21.33333
Bodíky,47.99268,17.61211
Bodiná,49.109745,18.5591768
Bodorová,48.86226,18.86048
Bodovce,49.10308,21.0988
Bodružal,49.30819,21.5703
Bodza,47.76667,18.13333
Bodzianske Lúky,47.76667,18.13333
Bogliarka,49.29175,21.27271
Bohdanovce,48.66667,21.33333
Bohdanovce nad Trnavou,48.42996,17.5447
Boheľov,47.99268,17.61211
Bohunice,48.83333,18.25
Bohunice,48.21563,18.60705
Bohúňovo,48.66008,20.53758
Bojná,48.56362,18.16712
Bojnice,48.76667,18.63333
Bojničky,48.43174,17.8031
Boldog,48.21951,17.40043
Boleráz,48.46808,17.49478
Bolešov,48.83333,18.25
Boliarov,48.66667,21.33333
Boľ,48.62858,21.71954
Boľkovce,48.33249,19.66708
Borcová,48.86226,18.86048
Borčany,48.83333,18.25
Borčice,48.83333,18.25
Borinka,48.43604,17.02188
Borová,48.3872,17.44523
Borovce,48.59479,17.82591
Borský Mikuláš,48.67922,17.36697
Borský Svätý Jur,48.67922,17.36697
Borša,48.62858,21.71954
Bory,48.21563,18.60705
Bošáca,48.75466,17.83506
Bošany,48.83333,18.25
Bottovo,48.38284,20.0224
Boťany,48.62858,21.71954
Bôrka,48.66008,20.53758
Bracovce,48.75434,21.9195
Branč,48.21869,18.14423
Branovo,47.98333,18.16667
Bratislava I,48.14816,17.10674
Bratislava II,48.14816,17.10674
Bratislava III,48.14816,17.10674
Bratislava IV,48.14816,17.10674
Bratislava V,48.14816,17.10674
Braväcovo,48.80431,19.63631
Brdárka,48.66008,20.53758
Brehov,48.62858,21.71954
Brehy,48.48124,18.71565
Brekov,48.93707,21.91625
Brestov,48.93707,21.91625
Brestov,48.87117,21.35086
Brestov nad Laborcom,49.16667,21.25
Brestovany,48.38826,17.68806
Brestovec,48.79409,17.56628
Brestovec,47.76667,18.13333
Bretejovce,48.82772,21.29572
Bretka,48.66008,20.53758
Breza,49.4079,19.48032
Brezany,49.18885,18.6715
Brezina,48.62858,21.71954
Breziny,48.57442,19.15324
Breznica,49.20211,21.65216
Breznička,48.43094,19.79408
Breznička,49.20211,21.65216
Brezno,48.80431,19.63631
Brezolupy,48.83333,18.25
Brezov,49.29175,21.27271
Brezová pod Bradlom,48.75876,17.56866
Brezovec,48.98857,22.15099
Brezovica,49.10308,21.0988
Brezovica,49.337,19.556
Brezovička,49.10308,21.0988
Brezovka,49.29175,21.27271
Brežany,48.99839,21.23393
Brhlovce,48.21563,18.60705
Brieštie,48.86226,18.86048
Brodské,48.8449,17.22635
Brodzany,48.83333,18.25
Brunovce,48.75466,17.83506
Brusnica,49.20211,21.65216
Brusník,48.21058,19.35043
Brusno,48.79238,19.3822
Brutovce,49.02173,20.59212
Bruty,47.98333,18.16667
Brvnište,49.12153,18.42169
Brzotín,48.66008,20.53758
Buclovany,49.29175,21.27271
Bučany,48.41582,17.6972
Budča,48.57442,19.15324
Budikovany,48.38284,20.0224
Budimír,48.66667,21.33333
Budiná,48.33249,19.66708
Budince,48.75434,21.9195
Budiš,48.86226,18.86048
Budkovce,48.75434,21.9195
Budmerice,48.28986,17.26664
Buglovce,49.02173,20.59212
Buková,48.54321,17.39696
Bukovce,49.20211,21.65216
Bukovec,48.66667,21.33333
Bukovec,48.75876,17.56866
Bukovina,49.08061,19.62218
Bulhary,48.33249,19.66708
Bunetice,48.66667,21.33333
Bunkovce,48.74455,22.18136
Bušince,48.21058,19.35043
Bušovce,49.1357,20.43352
Buzica,48.66667,21.33333
Buzitka,48.33249,19.66708
Búč,47.76667,18.13333
Bystrá,48.80431,19.63631
Bystrá,49.20211,21.65216
Bystrany,48.94464,20.56154
Bystré,48.88836,21.68479
Bystričany,48.76667,18.63333
Bystrička,49.06651,18.92399
Byšta,48.62858,21.71954
Bytča,49.22404,18.55878
Bzenica,48.59184,18.84958
Bzenov,48.94731,21.16671
Bzince pod Javorinou,48.75466,17.83506
Bziny,49.20983,19.30341
Bzovík,48.3554,19.06474
Bzovská Lehôtka,48.57442,19.15324
Bžany,49.20211,21.65216
Cabaj-Čápor,48.24445,18.02899
Cabov,48.88836,21.68479
Cakov,48.38284,20.0224
Cejkov,48.62858,21.71954
Cernina,49.30819,21.5703
Cerová,48.67922,17.36697
Cerovo,48.3554,19.06474
Cestice,48.66667,21.33333
Cigeľ,48.76667,18.63333
Cigeľka,49.29175,21.27271
Cigla,49.30819,21.5703
Cimenná,48.83333,18.25
Cinobaňa,48.43094,19.79408
Cífer,48.3175,17.48987
Čab,48.40854,17.9883
Čabalovce,49.16667,21.25
Čabiny,49.16667,21.25
Čabradský Vrbovok,48.3554,19.06474
Čadca,49.43503,18.78895
Čachtice,48.75466,17.83506
Čajkov,48.21563,18.60705
Čaka,48.21563,18.60705
Čakajovce,48.37164,18.03829
Čakanovce,48.33249,19.66708
Čakanovce,48.66667,21.33333
Čakany,47.99268,17.61211
Čaklov,48.88836,21.68479
Čalovec,47.76667,18.13333
Čamovce,48.33249,19.66708
Čaňa,48.66667,21.33333
Čaradice,48.38553,18.40063
Častá,48.28986,17.26664
Častkov,48.67922,17.36697
Častkovce,48.75466,17.83506
Čata,48.21563,18.60705
Čataj,48.21951,17.40043
Čavoj,48.76667,18.63333
Čáry,48.67922,17.36697
Čebovce,48.21058,19.35043
Čečehov,48.75434,21.9195
Čečejovce,48.66667,21.33333
Čechy,47.98333,18.16667
Čechynce,48.25489,18.15958
Čekovce,48.3554,19.06474
Čeláre,48.21058,19.35043
Čelkova Lehota,49.12153,18.42169
Čelovce,48.21058,19.35043
Čelovce,49.07974,21.39966
Čeľadice,48.32918,18.23903
Čeľadince,48.56362,18.16712
Čeľovce,48.62858,21.71954
Čenkovce,47.99268,17.61211
Čerenčany,48.38284,20.0224
Čereňany,48.76667,18.63333
Čerhov,48.62858,21.71954
Čerín,48.66065,19.24536
Čermany,48.56362,18.16712
Černík,47.98333,18.16667
Černina,48.93707,21.91625
Černochov,48.62858,21.71954
Čertižné,49.16667,21.25
Červená Voda,49.10308,21.0988
Červenica,48.88681,21.449
Červenica pri Sabinove,49.10308,21.0988
