"Obec, mesto, mestská časť",region,province,latitude,longitude
Abrahám,Galanta,Trnavský kraj,48.2,17.71667
Adidovce,Humenné,Prešovský kraj,48.93707,21.91625
Abrahámovce,Kežmarok,Prešovský kraj,49.1357,20.43352
Ábelová,Lučenec,Banskobystrický kraj,48.33249,19.66708
Alekšince,Nitra,Nitriansky kraj,48.36641,17.9479
Andovce,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Abranovce,Prešov,Prešovský kraj,48.93176,21.34528
Abovce,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Ardovo,Rožňava,Košický kraj,48.66008,20.53758
Arnutovce,Spišská Nová Ves,Košický kraj,48.94464,20.56154
Abrahámovce,Bardejov,Prešovský kraj,49.29175,21.27271
Ardanovce,Topoľčany,Nitriansky kraj,48.56362,18.16712
Andrejová,Bardejov,Prešovský kraj,49.29175,21.27271
Adamovské Kochanovce,Trenčín,Trenčiansky kraj,48.89452,18.04436
Abramová,Turčianske Teplice,Žilinský kraj,48.86226,18.86048
Babie,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Babiná,Zvolen,Banskobystrický kraj,48.57442,19.15324
Babindol,Nitra,Nitriansky kraj,48.28918,18.23808
Babinec,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Babín,Námestovo,Žilinský kraj,49.4079,19.48032
Bacúch,Brezno,Banskobystrický kraj,48.80431,19.63631
Bacúrov,Zvolen,Banskobystrický kraj,48.57442,19.15324
Bačka,Trebišov,Košický kraj,48.62858,21.71954
Bačkov,Trebišov,Košický kraj,48.62858,21.71954
Bačkovík,Košice-okolie,Košický kraj,48.66667,21.33333
Badín,Banská Bystrica,Banskobystrický kraj,48.66375,19.12319
Baďan,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Bajany,Michalovce,Košický kraj,48.75434,21.9195
Bajč,Komárno,Nitriansky kraj,47.76667,18.13333
Bajerov,Prešov,Prešovský kraj,48.95345,21.11529
Bajerovce,Sabinov,Prešovský kraj,49.10308,21.0988
Bajka,Levice,Nitriansky kraj,48.21563,18.60705
Bajtava,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Baka,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Baláže,Banská Bystrica,Banskobystrický kraj,48.81399,19.19569
Baldovce,Levoča,Prešovský kraj,49.02173,20.59212
Balog nad Ipľom,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
Baloň,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Banka,Piešťany,Trnavský kraj,48.59479,17.82591
Banská Belá,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Banská Bystrica,Banská Bystrica,Banskobystrický kraj,48.73946,19.15349
Banská Štiavnica,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Banské,Vranov nad Topľou,Prešovský kraj,48.88836,21.68479
Banský Studenec,Banská Štiavnica,Banskobystrický kraj,48.44858,18.91003
Baňa,Stropkov,Prešovský kraj,49.20211,21.65216
Bara,Trebišov,Košický kraj,48.62858,21.71954
Barca,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Bardejov,Bardejov,Prešovský kraj,49.29175,21.27271
Bardoňovo,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Bartošova Lehôtka,Žiar nad Hronom,Banskobystrický kraj,48.59184,18.84958
Bartošovce,Bardejov,Prešovský kraj,49.29175,21.27271
Baška,Košice-okolie,Košický kraj,48.66667,21.33333
Baškovce,Humenné,Prešovský kraj,48.93707,21.91625
Baškovce,Sobrance,Košický kraj,48.74455,22.18136
Bašovce,Piešťany,Trnavský kraj,48.59479,17.82591
Batizovce,Poprad,Prešovský kraj,49.07611,20.18497
Báb,Nitra,Nitriansky kraj,48.30995,17.86665
Báč,Dunajská Streda,Trnavský kraj,47.99268,17.61211
Bádice,Nitra,Nitriansky kraj,48.39904,18.12554
Báhoň,Pezinok,Bratislavský kraj,48.28986,17.26664
Bánov,Nové Zámky,Nitriansky kraj,47.98333,18.16667
Bánovce nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,48.83333,18.25
Bánovce nad Ondavou,Michalovce,Košický kraj,48.75434,21.9195
Bátka,Rimavská Sobota,Banskobystrický kraj,48.38284,20.0224
Bátorová,Veľký Krtíš,Banskobystrický kraj,48.21058,19.35043
