"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Ábelová,Viliam Körösi,"SMER-SD, MOST - HÍD"
Abovce,Irena Hanobiková,SMK-MKP
Abrahám,Igor Németh,SMER-SD
Abrahámovce,Ján Novotný,NEKA
Abrahámovce,Miloš Pitko,NEKA
Abramová,Milan Černák,SMER-SD
Abranovce,František Štofko,SMER-SD
Adamovské Kochanovce,Michal Križan,NEKA
Adidovce,Milan Koromház,SMER-SD
Alekšince,Radoslav Ťapušík,NEKA
Andovce,Mária Czuczor,SMK-MKP
Andrejová,Milana Gerženiová,SDKÚ-DS
Ardanovce,Ľubomíra Ondrejková,SMER-SD
Ardovo,Daniel Fábián,NEKA
Arnutovce,Elena Šarišská,"KDH, SDKÚ-DS, SIEŤ"
Báb,Peter Nemeček,SNS
Babie,Martina Hliboká,SIEŤ
Babín,Martin Matys,NEKA
Babiná,Jana Gregušová,SMER-SD
Babindol,Peter Ďurica,"MOST - HÍD, SMER-SD"
Babinec,Jaroslav Benda,SMER-SD
Bacúch,František Kán,SMER-SD
Bacúrov,Katarína Zlámalová,SMER-SD
Báč,Helena Vonyiková,NEKA
Bačka,Ladislav Kosztyu,NEKA
Bačkov,Jozef Nemčík,SMER-SD
Bačkovík,Milan Gábor,PRÁVO A SPRAVODLIVOSŤ
Baďan,Ľubica Kuková,"SMER-SD, SNS"
Bádice,Július Gál,SMER-SD
Badín,Pavol Hric,NEKA
Báhoň,Ivan Patoprstý,KDH
Bajany,František Genco,"SDKÚ-DS, Strana moderného Slovenska, MOST - HÍD, SIEŤ"
Bajč,Oto Virág,NEKA
Bajerov,Vladimír Mruz,SMER-SD
Bajerovce,Michal Sekerák,SMER-SD
Bajka,Alojz Štrba,NEKA
Bajtava,Jozef Benkó,NEKA
Baka,Juraj Bertalan,NEKA
Baláže,Jozef Chaban,NEKA
Baldovce,Vladimír Chovanec,SMER-SD
Balog nad Ipľom,Peter Bálint,NEKA
Baloň,Frigyes Matus,SMK-MKP
Baňa,František Šlang,SMER-SD
Banka,Tatiana Julinyová,NEKA
Bánov,Helena Juríková,SMER-SD
Bánovce nad Bebravou,Marián Chovanec,NEKA
Bánovce nad Ondavou,Ľudmila Ďurčáková,SMER-SD
Banská Belá,Branislav Babirád,"SMER-SD, SNS"
Banská Bystrica,Ján Nosko,NEKA
Banská Štiavnica,Nadežda Babiaková,"SMER-SD, SNS, Strana moderného Slovenska"
Banské,Štefan Petruň,"KDH, SIEŤ"
Banský Studenec,Pavol Santoris,"SNS, SMER-SD"
Bara,Albert Csizmadia,SMK-MKP
Barca,Richard Szajko,"SRK, SMK-MKP"
Bardejov,Boris Hanuščak,SMER-SD
Bardoňovo,Tibor Černák,SMK-MKP
Bartošova Lehôtka,Ľubomír Bielik,SNS
Bartošovce,Václav Hudák,"KDH, NOVA"
Baška,Ján Serbin,SIEŤ
Baškovce,František Bazar,SNS
Baškovce,Viera Lukáčová,"SMER-SD, KDH"
Bašovce,Ľubomír Dekan,NEKA
Batizovce,Gabriel Bodnár,NEKA
Bátka,Peter Hencz,MOST - HÍD
Bátorová,Daniela Lichvárová,"SMER-SD, MOST - HÍD"
Bátorove Kosihy,Roland Labancz,"SMK-MKP, MOST - HÍD"
Bátovce,Peter Burčo,"SMER-SD, SNS"
Beckov,Ján Križan,NEKA
Beharovce,Igor Polomský,"NOVA, SDS"
Becherov,Jozef Gmiterko,NÁŠ KRAJ
Belá,Michal Varga,NEKA
Belá,Matúš Krajči,NEKA
Belá nad Cirochou,Ján Vajda,"SMER-SD, SNS"
Belá-Dulice,Igor Kapusta,NEKA
Beladice,Miroslav Lisý,SMER-SD
Belejovce,Marcel Sopoliga,NEKA
Belín,Ivan Očenáš,NEKA
Belina,István Csaba,MOST - HÍD
Belince,Ľubomír Varga,"SMER-SD, SNS"
Bellova Ves,Jozef Fischer,NEKA
Beloveža,Peter Mikula,NÁŠ KRAJ
Beluj,Monika Zlesíková,NEKA
Beluša,Ján Prekop,"SMER-SD, KDH, SNS"
Belža,Ondrej Pravda,NEKA
Beňadiková,Ján Martinovič,NEKA
Beňadikovce,Ladislav Džogan,SMER-SD
Beňadovo,Jaroslav Pepucha,SIEŤ
Beňatina,Štefan Minčák,SMER-SD
Beniakovce,Miroslav Halás,SDKÚ-DS
Benice,Milan Remšík,SMER-SD
Benkovce,Viera Pavlišková,"SMER-SD, KDH, SNS"
Beňuš,Katarína Srnková,NEKA
Bernolákovo,Richard Červienka,NEKA
Bertotovce,František Marinica,SMER-SD
Beša,Miroslav Černák,SMK-MKP
Beša,Alexander Kalán,SMK-MKP
Bešeňov,Gabriel Timoranský,NEKA
