"Obec, mesto, mestská časť",Meno a priezvisko,Skratka politického subjektu
Bratislava - Staré Mesto,Zuzana Aufrichtová,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SME RODINA - Boris Kollár, OKS, NOVA, Zmena zdola, DÚ"
Bratislava - Podunajské Biskupice,Zoltán Pék,"MOST - HÍD, SaS, SME RODINA - Boris Kollár, OKS, NOVA"
Bratislava - Ružinov,Martin Chren,NEKA
Bratislava - Vrakuňa,Martin Kuruc,NEKA
Bratislava - Nové Mesto,Rudolf Kusý,NEKA
Bratislava - Rača,Michal Drotován,NEKA
Bratislava - Vajnory,Michal Vlček,NEKA
Bratislava - Devín,Ľubica Kolková,NEKA
Bratislava - Devínska Nová Ves,Dárius Krajčír,"SaS, SME RODINA - Boris Kollár, NOVA"
Bratislava - Dúbravka,Martin Zaťovič,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SME RODINA - Boris Kollár, OKS, NOVA, Zmena zdola, DÚ"
Bratislava - Karlova Ves,Dana Čahojová,NEKA
Bratislava - Lamač,Lukáš Baňacký,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SME RODINA - Boris Kollár, OKS, NOVA, Zmena zdola, DÚ"
Bratislava - Záhorská Bystrica,Jozef Krúpa,NEKA
Bratislava - Čunovo,Gabriela Ferenčáková,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), KDH, SME RODINA - Boris Kollár, OKS, NOVA, Zmena zdola, DÚ"
Bratislava - Jarovce,Jozef Uhler,NEKA
Bratislava - Petržalka,Ján Hrčka,"SaS, NOVA, KDH, OKS, SME RODINA - Boris Kollár"
Bratislava - Rusovce,Lucia Tuleková Henčelová,NEKA
Borinka,Miroslav Paulen,NEKA
Gajary,Martin Rybecký,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), SME RODINA - Boris Kollár, NOVA"
Jablonové,Ondrej Uhliarik,KDH
Jakubov,Peter Gajdár,NEKA
Kostolište,Hubert Danihel,NEKA
Kuchyňa,Róbert Bujna,"KDH, SaS, NOVA"
Láb,Marián Moravčík,NEKA
Lozorno,Ľuboš Tvrdoň,NEKA
Malacky,Juraj Říha,NEKA
Malé Leváre,Adrian Pernecký,NEKA
Marianka,Dušan Statelov,Progresívne Slovensko
Pernek,Martin Ledník,NEKA
Plavecké Podhradie,Július Papán,NEKA
Plavecký Mikuláš,Peter Válek,NEKA
Plavecký Štvrtok,Radoslav Benkovič,SMER-SD
Rohožník,Peter Švaral,NEKA
Sološnica,Anna Čermáková,NEKA
Studienka,Boris Soukup,SMER-SD
Stupava,Peter Novisedlák,"SaS, OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, KDH, Zmena zdola, DÚ"
Suchohrad,Jozef Temer,NEKA
Veľké Leváre,Richard Nimsch,NEKA
Vysoká pri Morave,Dušan Dvoran,SMER-SD
Záhorská Ves,Boris Šimkovič,NEKA
Závod,Peter Vrablec,KDH
Zohor,Martin Zálesňák,NEKA
