,povodne_name,population
0,Abrahám,NaN
1,Adidovce,221
2,Abrahámovce,NaN
3,Ábelová,196
4,Alekšince,1669
5,Andovce,1579
6,Abranovce,696
7,Abovce,626
8,Ardovo,163
9,Arnutovce,809
11,Ardanovce,207
12,Andrejová,366
13,Adamovské Kochanovce,888
14,Abramová,177
15,Babie,236
16,Babiná,NaN
17,Babindol,808
18,Babinec,60
19,Babín,1442
20,Bacúch,911
21,Bacúrov,165
22,Bačka,638
23,Bačkov,NaN
24,Bačkovík,585
25,Badín,2028
26,Baďan,172
27,Bajany,466
28,Bajč,1222
29,Bajerov,439
30,Bajerovce,290
31,Bajka,330
32,Bajtava,401
33,Baka,1095
34,Baláže,218
35,Baldovce,169
36,Balog nad Ipľom,788
37,Baloň,727
38,Banka,NaN
39,Banská Belá,1172
40,Banská Bystrica,78084
41,Banská Štiavnica,10004
42,Banské,1909
43,Banský Studenec,467
44,Baňa,NaN
45,Bara,279
46,Barca,NaN
47,Bardejov,32293
48,Bardoňovo,687
49,Bartošova Lehôtka,352
50,Bartošovce,729
51,Baška,NaN
52,Baškovce,NaN
54,Bašovce,342
55,Batizovce,2481
56,Báb,NaN
57,Báč,551
58,Bádice,376
59,Báhoň,1856
60,Bánov,NaN
61,Bánovce nad Bebravou,17750
62,Bánovce nad Ondavou,724
63,Bátka,874
64,Bátorová,372
65,Bátorove Kosihy,3335
66,Bátovce,1174
67,Beckov,NaN
68,Beharovce,159
69,Becherov,287
70,Belá,NaN
72,Belá-Dulice,1251
73,Belá nad Cirochou,3399
74,Beladice,1689
75,Belejovce,15
76,Belín,190
77,Belina,NaN
78,Belince,349
79,Bellova Ves,326
80,Beloveža,784
81,Beluj,135
82,Beluša,5947
83,Belža,423
84,Beniakovce,760
85,Benice,NaN
86,Benkovce,551
87,Beňadiková,536
88,Beňadikovce,201
89,Beňadovo,895
90,Beňatina,185
91,Beňuš,1170
92,Bernolákovo,8194
93,Bertotovce,507
94,Beša,NaN
96,Bešeňov,1619
97,Bešeňová,773
98,Betlanovce,736
99,Betliar,942
100,Bežovce,977
101,Bidovce,1609
102,Biel,NaN
103,Bielovce,227
104,Biely Kostol,2254
105,Bijacovce,958
106,Biskupice,NaN
107,Biskupová,235
108,Bitarová,768
109,Bílkove Humence,205
110,Bíňa,1436
111,Bíňovce,677
112,Blahová,NaN
113,Blatná na Ostrove,935
114,Blatná Polianka,163
115,Blatné,1801
116,Blatné Remety,695
117,Blatné Revištia,187
118,Blatnica,977
119,Blažice,639
120,Blažovce,165
121,Blesovce,339
122,Blhovce,792
123,Bobot,772
124,Bobrov,1888
125,Bobrovček,176
126,Bobrovec,NaN
127,Bobrovník,135
128,Bočiar,258
129,Bodíky,273
130,Bodiná,494
131,Bodorová,234
132,Bodovce,355
133,Bodružal,63
134,Bodza,378
135,Bodzianske Lúky,188
136,Bogliarka,106
137,Bohdanovce,1132
138,Bohdanovce nad Trnavou,1487
139,Boheľov,353
140,Bohunice,NaN
142,Bohúňovo,286
143,Bojná,2030
144,Bojnice,4992
145,Bojničky,1419
146,Boldog,474
147,Boleráz,2385
148,Bolešov,1556
149,Boliarov,945
150,Boľ,760
151,Boľkovce,622
152,Borcová,143
153,Borčany,259
154,Borčice,655
155,Borinka,821
156,Borová,NaN
157,Borovce,1062
158,Borský Mikuláš,3999
159,Borský Svätý Jur,1634
160,Borša,1125
161,Bory,NaN
162,Bošáca,1404
163,Bošany,4123
164,Bottovo,195
165,Boťany,NaN
166,Bôrka,595
167,Bracovce,935
168,Branč,NaN
169,Branovo,575
170,Bratislava I,41893
171,Bratislava II,116223
172,Bratislava III,69479
173,Bratislava IV,97792
174,Bratislava V,112339
175,Braväcovo,688
176,Brdárka,63
177,Brehov,599
178,Brehy,1040
179,Brekov,1310
180,Brestov,NaN
182,Brestov nad Laborcom,102
183,Brestovany,2655
184,Brestovec,NaN
186,Bretejovce,427
187,Bretka,395
188,Breza,NaN
189,Brezany,651
190,Brezina,NaN
191,Breziny,378
192,Breznica,NaN
193,Breznička,NaN
195,Brezno,20889
196,Brezolupy,522
197,Brezov,368
198,Brezová pod Bradlom,4768
199,Brezovec,NaN
200,Brezovica,NaN
202,Brezovička,411
203,Brezovka,113
204,Brežany,190
205,Brhlovce,309
206,Brieštie,134
207,Brodské,2277
208,Brodzany,869
209,Brunovce,572
210,Brusnica,NaN
211,Brusník,NaN
212,Brusno,NaN
213,Brutovce,157
214,Bruty,592
215,Brvnište,1218
216,Brzotín,NaN
217,Buclovany,199
218,Bučany,2362
219,Budča,1341
220,Budikovany,59
221,Budimír,1249
222,Budiná,224
223,Budince,228
224,Budiš,196
225,Budkovce,NaN
226,Budmerice,2406
227,Buglovce,284
228,Buková,NaN
229,Bukovce,NaN
230,Bukovec,NaN
232,Bukovina,NaN
233,Bulhary,NaN
234,Bunetice,92
235,Bunkovce,367
236,Bušince,1416
237,Bušovce,301
238,Buzica,1217
239,Buzitka,503
240,Búč,1104
241,Bystrá,NaN
243,Bystrany,3666
244,Bystré,NaN
245,Bystričany,1805
246,Bystrička,NaN
247,Byšta,NaN
248,Bytča,11363
249,Bzenica,604
250,Bzenov,772
251,Bzince pod Javorinou,2110
252,Bziny,582
253,Bzovík,NaN
254,Bzovská Lehôtka,130
255,Bžany,NaN
256,Cabaj-Čápor,4300
257,Cabov,386
258,Cakov,335
259,Cejkov,NaN
260,Cernina,581
261,Cerová,NaN
262,Cerovo,NaN
263,Cestice,844
264,Cigeľ,1258
265,Cigeľka,NaN
266,Cigla,68
267,Cimenná,100
268,Cinobaňa,2217
269,Cífer,4370
270,Čab,798
271,Čabalovce,342
272,Čabiny,326
273,Čabradský Vrbovok,232
274,Čadca,23941
275,Čachtice,3905
276,Čajkov,948
277,Čaka,NaN
278,Čakajovce,1161
279,Čakanovce,NaN
281,Čakany,646
282,Čaklov,2704
283,Čalovec,1161
284,Čamovce,603
285,Čaňa,6056
286,Čaradice,490
287,Častá,2305
288,Častkov,571
289,Častkovce,1597
290,Čata,NaN
291,Čataj,1182
292,Čavoj,491
293,Čáry,1301
294,Čebovce,1083
295,Čečehov,385
296,Čečejovce,2157
297,Čechy,NaN
298,Čechynce,1259
299,Čekovce,451
300,Čeláre,443
301,Čelkova Lehota,146
302,Čelovce,NaN
304,Čeľadice,1034
305,Čeľadince,448
306,Čeľovce,554
307,Čenkovce,1098
308,Čerenčany,571
309,Čereňany,1730
310,Čerhov,725
311,Čerín,438
312,Čermany,362
313,Černík,1045
314,Černina,170
315,Černochov,193
316,Čertižné,334
317,Červená Voda,NaN
318,Červenica,NaN
319,Červenica pri Sabinove,927
320,Červeník,1709
321,Červený Hrádok,400
322,Červený Kameň,NaN
323,Červený Kláštor,223
324,Červeňany,44
325,České Brezovo,464
326,Čičarovce,883
327,Čičava,NaN
328,Čičmany,123
329,Čierna,NaN
330,Čierna Lehota,NaN
332,Čierna nad Tisou,3619
333,Čierna Voda,NaN
334,Čierne,4453
335,Čierne Kľačany,1174
336,Čierne nad Topľou,727
337,Čierne Pole,355
338,Čierny Balog,5090
339,Čierny Brod,1645
340,Čierny Potok,130
341,Čifáre,591
342,Čiližská Radvaň,1169
343,Čimhová,679
344,Čirč,1321
345,Čižatice,411
346,Číčov,1244
347,Číž,NaN
348,Čoltovo,479
349,Čremošné,82
350,Čučma,609
351,Čukalovce,160
352,Dačov Lom,414
353,Daletice,97
354,Danišovce,567
355,Dargov,NaN
356,Davidov,800
357,Debraď,402
358,Dedačov,159
359,Dedina Mládeže,448
360,Dedinka,670
361,Dedinky,239
362,Dechtice,1837
363,Dekýš,192
364,Demandice,973
365,Demänovská Dolina,314
366,Demjata,1092
367,Detrík,57
368,Detva,14545
369,Detvianska Huta,677
370,Devičany,380
371,Devičie,299
372,Dežerice,1018
373,Diaková,NaN
374,Diakovce,2291
375,Diviacka Nová Ves,NaN
376,Diviaky nad Nitricou,1743
377,Divín,NaN
378,Divina,NaN
379,Divinka,1030
380,Dlhá,NaN
381,Dlhá nad Kysucou,612
382,Dlhá nad Oravou,1438
383,Dlhá nad Váhom,901
384,Dlhá Ves,534
385,Dlhé Klčovo,1393
386,Dlhé nad Cirochou,1921
387,Dlhé Pole,1898
388,Dlhé Stráže,596
389,Dlhoňa,92
390,Dlžín,146
391,Dobrá,NaN
392,Dobrá Niva,NaN
393,Dobrá Voda,NaN
394,Dobroč,607
395,Dobrohošť,NaN
396,Dobroslava,NaN
397,Dobšiná,5685
398,Dohňany,1868
399,Dojč,1270
400,Dolinka,NaN
401,Dolná Breznica,998
402,Dolná Krupá,2383
403,Dolná Lehota,NaN
404,Dolná Mariková,1428
405,Dolná Mičiná,NaN
406,Dolná Poruba,799
407,Dolná Seč,517
408,Dolná Streda,1623
409,Dolná Strehová,1038
410,Dolná Súča,3080
411,Dolná Tižina,1432
412,Dolná Trnávka,339
413,Dolná Ves,226
414,Dolná Ždaňa,877
415,Dolné Dubové,737
416,Dolné Kočkovce,1218
417,Dolné Lefantovce,703
418,Dolné Lovčice,752
419,Dolné Mladonice,128
420,Dolné Naštice,574
421,Dolné Obdokovce,1184
422,Dolné Orešany,1345
423,Dolné Otrokovce,390
424,Dolné Plachtince,625
425,Dolné Saliby,2012
426,Dolné Semerovce,557
427,Dolné Srnie,987
428,Dolné Strháre,191
429,Dolné Trhovište,651
430,Dolné Vestenice,2560
431,Dolné Zahorany,182
432,Dolné Zelenice,590
433,Dolný Badín,248
434,Dolný Bar,783
435,Dolný Harmanec,263
436,Dolný Hričov,1618
437,Dolný Chotár,378
438,Dolný Kalník,293
439,Dolný Kubín,18665
440,Dolný Lieskov,836
441,Dolný Lopašov,964
442,Dolný Ohaj,1547
443,Dolný Pial,917
444,Dolný Štál,1896
445,Dolný Vadičov,482
446,Doľany,NaN
448,Domadice,235
449,Domaníky,190
450,Domaniža,1631
451,Domaňovce,926
452,Donovaly,255
453,Drábsko,194
454,Drahňov,1558
455,Drahovce,2575
456,Dravce,NaN
457,Dražice,NaN
458,Dražkovce,1060
459,Drážovce,134
460,Drienčany,242
461,Drienica,753
462,Drienov,2242
463,Drienovec,2363
464,Drienovo,109
465,Drienovská Nová Ves,834
466,Drietoma,2271
467,Drnava,713
468,Drňa,213
469,Družstevná pri Hornáde,2813
470,Drženice,378
471,Držkovce,577
472,Dubinné,352
473,Dubnica nad Váhom,23550
