,village_name,district_name,population
0,Ábelová,Lučenec,196
1,Abovce,Rimavská Sobota,626
2,Abrahám,Galanta,1055
3,Abrahámovce,Kežmarok,269
4,Abrahámovce,Bardejov,341
5,Abramová,Turčianske Teplice,177
6,Abranovce,Prešov,696
7,Adamovské Kochanovce,Trenčín,888
8,Adidovce,Humenné,221
9,Albínov,Trebišov,164
10,Alekšince,Nitra,1669
11,Andovce,Nové Zámky,1579
12,Andrejová,Bardejov,366
13,Ardanovce,Topoľčany,207
14,Ardovo,Rožňava,163
15,Arnutovce,Spišská Nová Ves,809
16,Báb,Nitra,1115
17,Babie,Vranov nad Topľou,236
18,Babín,Námestovo,1442
19,Babiná,Zvolen,550
20,Babindol,Nitra,808
21,Babinec,Rimavská Sobota,60
22,Bacúch,Brezno,911
23,Bacúrov,Zvolen,165
24,Báč,Dunajská Streda,551
25,Bačka,Trebišov,638
26,Bačkov,Trebišov,719
27,Bačkovík,Košice-okolie,585
28,Baďan,Banská Štiavnica,172
29,Bádice,Nitra,376
30,Badín,Banská Bystrica,2028
31,Báhoň,Pezinok,1856
32,Bajany,Michalovce,466
33,Bajč,Komárno,1222
34,Bajerov,Prešov,439
35,Bajerovce,Sabinov,290
36,Bajka,Levice,330
37,Bajtava,Nové Zámky,401
38,Baka,Dunajská Streda,1095
39,Baláže,Banská Bystrica,218
40,Baldovce,Levoča,169
41,Balog nad Ipľom,Veľký Krtíš,788
42,Baloň,Dunajská Streda,727
43,Baňa,Stropkov,187
44,Banka,Piešťany,2060
45,Bánov,Nové Zámky,3703
46,Bánová,Žilina,1871
47,Bánovce nad Bebravou,Bánovce nad Bebravou,17750
48,Bánovce nad Ondavou,Michalovce,724
49,Banská Belá,Banská Štiavnica,1172
50,Banská Bystrica,Banská Bystrica,78084
51,Banská Hodruša,Žarnovica,2165
52,Banská Štiavnica,Banská Štiavnica,10004
53,Banské,Vranov nad Topľou,1909
54,Banský Studenec,Banská Štiavnica,467
55,Bara,Trebišov,279
56,Barca,Rimavská Sobota,611
57,Bardejov,Bardejov,32293
58,Bardoňovo,Nové Zámky,687
59,Bartošova Lehôtka,Žiar nad Hronom,352
60,Bartošovce,Bardejov,729
61,Baška,Košice-okolie,675
62,Baškovce,Humenné,404
63,Baškovce,Sobrance,238
64,Bašovce,Piešťany,342
65,Batizovce,Poprad,2481
66,Bátka,Rimavská Sobota,874
67,Bátorová,Veľký Krtíš,372
68,Bátorove Kosihy,Komárno,3335
69,Bátovce,Levice,1174
70,Bečov,Banská Bystrica,1575
71,Beharovce,Levoča,159
72,Becherov,Bardejov,287
73,Belá,Žilina,3380
74,Belá,Nové Zámky,316
75,Belá nad Cirochou,Snina,3399
76,Beladice,Zlaté Moravce,1689
77,Belejovce,Svidník,15
78,Belín,Rimavská Sobota,190
79,Belince,Topoľčany,349
80,Bellova Ves,Dunajská Streda,326
81,Beloveža,Bardejov,784
82,Beluj,Banská Štiavnica,135
83,Beluša,Púchov,5947
84,Belža,Košice-okolie,423
85,Beňadiková,Liptovský Mikuláš,536
86,Beňadikovce,Svidník,201
87,Beňadovo,Námestovo,895
88,Beňatina,Sobrance,185
89,Beniakovce,Košice-okolie,760
90,Benice,Martin,356
91,Benkovce,Vranov nad Topľou,551
92,Beňuš,Brezno,1170
93,Bernolákovo,Senec,8194
94,Bertotovce,Prešov,507
95,Beša,Michalovce,369
96,Beša,Levice,639
97,Bešeňov,Nové Zámky,1619
98,Bešeňová,Ružomberok,773
99,Betlanovce,Spišská Nová Ves,736
100,Betliar,Rožňava,942
101,Bežovce,Sobrance,977
102,Bidovce,Košice-okolie,1609
103,Biel,Trebišov,1369
104,Bielovce,Levice,227
105,Biely Kostol,Trnava,2254
